_id,Institution,GoogleMaps
6930a7d8f59660bdbf649ac7,Instituto Politécnico da Lusofonia - Escola Superior de Saúde Ribeiro Sanches,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184
6930a7d8f59660bdbf649ac8,Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais,NaN
6930a7d8f59660bdbf649ac9,Universidade de Aveiro,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394
6930a7d8f59660bdbf649aca,Universidade de Coimbra - Faculdade de Direito,http://maps.google.pt/maps?z=20&t=k&q=loc:40.20785+-8.425645
6930a7d8f59660bdbf649acb,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71306+-9.198223
6930a7d8f59660bdbf649acc,Universidade do Minho,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
6930a7d8f59660bdbf649acd,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,http://maps.google.pt/maps?z=20&t=k&q=loc:39.9225+-7.242491
6930a7d8f59660bdbf649ace,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:39.73444+-8.821389
6930a7d8f59660bdbf649acf,"Instituto Politécnico de Portalegre - Escola Superior de Tecnologia, Gestão e Design",http://maps.google.pt/maps?z=20&t=k&q=loc:39.26868+-7.4425
6930a7d8f59660bdbf649ad0,Universidade do Algarve - Faculdade de Ciências e Tecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
6930a7d8f59660bdbf649ad1,Universidade de Évora - Escola de Ciências e Tecnologia,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
6930a7d8f59660bdbf649ad2,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
6930a7d8f59660bdbf649ad3,Instituto Politécnico de Beja - Escola Superior Agrária,http://maps.google.pt/maps?z=20&t=k&q=loc:38.01277+-7.872949
6930a7d8f59660bdbf649ad4,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,http://maps.google.pt/maps?z=20&t=k&q=loc:39.82086+-7.46249
6930a7d8f59660bdbf649ad5,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,http://maps.google.pt/maps?z=20&t=k&q=loc:40.21421+-8.450982
6930a7d8f59660bdbf649ad6,Instituto Politécnico de Portalegre - Escola Superior de Biociências de Elvas,http://maps.google.pt/maps?z=20&t=k&q=loc:38.8809+-7.167167
6930a7d8f59660bdbf649ad7,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,http://maps.google.pt/maps?z=20&t=k&q=loc:39.24965+-8.697347
6930a7d8f59660bdbf649ad8,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,http://maps.google.pt/maps?z=20&t=k&q=loc:41.79271+-8.54231
6930a7d8f59660bdbf649ad9,Universidade Europeia,http://maps.google.pt/maps?z=20&t=k&q=loc:38.77668+-9.193758
