Course,Institution,Link,GoogleMaps
Acupuntura,Instituto Politécnico da Lusofonia - Escola Superior de Saúde Ribeiro Sanches,detcursopi.asp?codc=L160&code=4614,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184
Administração e Gestão de Empresas,Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais,detcursopi.asp?codc=9059&code=2270,
Administração e Gestão de Empresas - Licenciatura Internacional,Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais,detcursopi.asp?codc=L149&code=2270,
Administração Pública,Universidade de Aveiro,detcursopi.asp?codc=9002&code=0300,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394
Administração Pública,Universidade de Coimbra - Faculdade de Direito,detcursopi.asp?codc=9002&code=0502,http://maps.google.pt/maps?z=20&t=k&q=loc:40.20785+-8.425645
Administração Pública,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,detcursopi.asp?codc=9002&code=1516,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71306+-9.198223
Administração Pública,Universidade do Minho,detcursopi.asp?codc=9002&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Administração Pública,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,detcursopi.asp?codc=9002&code=3054,http://maps.google.pt/maps?z=20&t=k&q=loc:39.9225+-7.242491
Administração Pública,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,detcursopi.asp?codc=9002&code=3102,http://maps.google.pt/maps?z=20&t=k&q=loc:39.73444+-8.821389
Administração Pública (regime pós-laboral),Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,detcursopi.asp?codc=8102&code=1516,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71306+-9.198223
Administração Pública e Políticas do Território (regime pós-laboral),Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,detcursopi.asp?codc=8363&code=1516,http://maps.google.pt/maps?z=20&t=k&q=loc:38.71306+-9.198223
Administração de Publicidade e Marketing,"Instituto Politécnico de Portalegre - Escola Superior de Tecnologia, Gestão e Design",detcursopi.asp?codc=9670&code=3124,http://maps.google.pt/maps?z=20&t=k&q=loc:39.26868+-7.4425
Agronomia,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9003&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Agronomia,Universidade de Évora - Escola de Ciências e Tecnologia,detcursopi.asp?codc=9003&code=0602,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
Agronomia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,detcursopi.asp?codc=9003&code=1201,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
Agronomia,Instituto Politécnico de Beja - Escola Superior Agrária,detcursopi.asp?codc=9003&code=3021,http://maps.google.pt/maps?z=20&t=k&q=loc:38.01277+-7.872949
Agronomia,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,detcursopi.asp?codc=9003&code=3051,http://maps.google.pt/maps?z=20&t=k&q=loc:39.82086+-7.46249
Agronomia,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,detcursopi.asp?codc=9003&code=3061,http://maps.google.pt/maps?z=20&t=k&q=loc:40.21421+-8.450982
Agronomia,Instituto Politécnico de Portalegre - Escola Superior de Biociências de Elvas,detcursopi.asp?codc=9003&code=3125,http://maps.google.pt/maps?z=20&t=k&q=loc:38.8809+-7.167167
Agronomia,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,detcursopi.asp?codc=9003&code=3141,http://maps.google.pt/maps?z=20&t=k&q=loc:39.24965+-8.697347
Agronomia,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,detcursopi.asp?codc=9003&code=3161,http://maps.google.pt/maps?z=20&t=k&q=loc:41.79271+-8.54231
Agronomia (regime pós-laboral),Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,detcursopi.asp?codc=8419&code=3141,http://maps.google.pt/maps?z=20&t=k&q=loc:39.24965+-8.697347
Animação e Criação Visual,Universidade Europeia,detcursopi.asp?codc=L220&code=4350,http://maps.google.pt/maps?z=20&t=k&q=loc:38.77668+-9.193758
Animação Desportiva e Turismo Ativo,Instituto Politécnico de Viana do Castelo - Escola Superior de Desporto e Lazer,detcursopi.asp?codc=L375&code=3165,http://maps.google.pt/maps?z=20&t=k&q=loc:42.11456+-8.257095
Animação Global,Universidade Europeia,detcursopi.asp?codc=L351&code=4350,http://maps.google.pt/maps?z=20&t=k&q=loc:38.77668+-9.193758
Animação e Produção Artística,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,detcursopi.asp?codc=9933&code=3042,http://maps.google.pt/maps?z=20&t=k&q=loc:41.7977+-6.7672
Animação Sociocultural,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,detcursopi.asp?codc=9005&code=1202,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
Animação Sociocultural,"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto",detcursopi.asp?codc=9005&code=3091,http://maps.google.pt/maps?z=20&t=k&q=loc:40.54139+-7.28329
Animação Sociocultural,Instituto Politécnico de Lisboa - Escola Superior de Educação,detcursopi.asp?codc=9005&code=3112,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74616+-9.195106
