Master Name,University,Location,Duration,Tuition Fee,About
Sustainable Urban Mobility Transitions,EIT Urban Mobility Master School,Multiple locations,2 years,4000 EUR / year,This Sustainable Urban Mobility Transitions programme from the EIT Urban Mobility Master School prepares you to address evolving urban challenges and lead innovations in sustainable urban mobility. It empowers students to become future urban leaders by embracing complexity and competence beyond the traditional urban planning and civil engineering disciplines.
Smart Mobility Data Science and Analytics,EIT Urban Mobility Master School,Multiple locations,2 years,4000 EUR / year,"This Smart Mobility Data Science and Analytics programme from EIT Urban Mobility Master School trains future elite data scientist in urban mobility. Through an interdisciplinary approach, you will learn to leverage urban data for strategic city planning, sustainable resource use, environmental cleanliness, equitable citizen engagement, and fostering a healthy society."
Postgraduate Program in Artificial Intelligence for Business Transformation,NOVA IMS,"Lisbon, Portugal",9 months,4100 EUR / year,"The Artificial Intelligence for Business Transformation program from Universidade Nova de Lisaboa trains managers and professionals to lead digital transformation by mastering artificial intelligence, machine learning, big data & analytics, IoT and other disruptive technologies ."
Postgraduate Program in Enterprise Data Science and Analytics,NOVA IMS,"Lisbon, Portugal",9 months,5100 EUR / year,"The Enterprise Data Science and Analytics program from Universidade Nova de Lisboa present methodologies and tools that enable companies to transform data into information on which they can base strategic information regarding their entry into new markets, new product or service lines, process optimization, business model transformation, and competitiveness in a data-driven decision-making market."
Economics,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8099 EUR / year,With this Master’s in Economics from Nova School of Business and Economics you will develop the technical and analytical skills to understand the dynamics of world economies.
Lisbon Executive Master of Business Administration,Nova School of Business and Economics,"Lisbon, Portugal","1 year, 8 months",20 940 EUR / year,"The Lisbon Executive Master of Business Administration from Nova School of Business and Economics is among the best 100 MBAs in the world according to the FT ranking. It is a 22 month part-time MBA, with a rigorous academic component from two top European business schools, Católica-Lisbon and Nova SBE, provided in collaboration with MIT Sloan. "
Master in Finance with Double Degree,Católica Porto Business School (CPBS),"Porto, Portugal",2 years,6570 EUR / year,"Taught by a first-class national and international Faculty, the Master in Finance with Double Degree from Católica Porto Business School (CPBS) has been producing highly-skilled financial specialists for more than ten years. These experts now occupy prominent positions in Portuguese firms and financial institutions, as well as in financial centres such as Madrid, London and New York."
Law Applied to Technology (Law and Tech),Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,7200 EUR / year,"At the Law Applied to Technology (Law and Tech) program from the Universidade Nova de Lisboa, the focus is on the digital and other types of emerging technological transformations. The study of law within this focus is approached in international, transnational, and comparative way."
Monetary and Financial Economics,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2875 EUR / year,This Monetary and Financial Economics MSc degree from ISEG - Lisbon School of Economics and Management will boost your chances of becoming an expert in economic and financial matters.
Lisbon International Master of Business Administration,Nova School of Business and Economics,"Lisbon, Portugal",1 year,39 500 EUR / year,"The accelerated full-time Lisbon International Master of Business Administration at Nova School of Business and Economics is a one year full-time programme for high-potential professionals, who aim to boost or change their career paths focusing exclusively on a life-changing experience, in an entrepreneurial and international environment."
