Institution;GoogleMaps;;
Instituto Politécnico da Lusofonia - Escola Superior de Saúde Ribeiro Sanches;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184;;
Universidade Católica Portuguesa - Faculdade de Ciências Económicas e Empresariais;;;
Universidade de Aveiro;http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394;;
Universidade de Coimbra - Faculdade de Direito;http://maps.google.pt/maps?z=20&t=k&q=loc:40.20785+-8.425645;;
Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;http://maps.google.pt/maps?z=20&t=k&q=loc:38.71306+-9.198223;;
Universidade do Minho;http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481;;
Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova;http://maps.google.pt/maps?z=20&t=k&q=loc:39.9225+-7.242491;;
Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:39.73444+-8.821389;;
Instituto Politécnico de Portalegre - Escola Superior de Tecnologia, Gestão e Design;http://maps.google.pt/maps?z=20&t=k&q=loc:39.26868+-7.4425;;
Universidade do Algarve - Faculdade de Ciências e Tecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222;;
Universidade de Évora - Escola de Ciências e Tecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306;;
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986;;
Instituto Politécnico de Beja - Escola Superior Agrária;http://maps.google.pt/maps?z=20&t=k&q=loc:38.01277+-7.872949;;
Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco;http://maps.google.pt/maps?z=20&t=k&q=loc:39.82086+-7.46249;;
Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra;http://maps.google.pt/maps?z=20&t=k&q=loc:40.21421+-8.450982;;
Instituto Politécnico de Portalegre - Escola Superior de Biociências de Elvas;http://maps.google.pt/maps?z=20&t=k&q=loc:38.8809+-7.167167;;
Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém;http://maps.google.pt/maps?z=20&t=k&q=loc:39.24965+-8.697347;;
Instituto Politécnico de Viana do Castelo - Escola Superior Agrária;http://maps.google.pt/maps?z=20&t=k&q=loc:41.79271+-8.54231;;
Universidade Europeia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.77668+-9.193758;;
Instituto Politécnico de Viana do Castelo - Escola Superior de Desporto e Lazer;http://maps.google.pt/maps?z=20&t=k&q=loc:42.11456+-8.257095;;
Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança;http://maps.google.pt/maps?z=20&t=k&q=loc:41.7977+-6.7672;;
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986;;
Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto;http://maps.google.pt/maps?z=20&t=k&q=loc:40.54139+-7.28329;;
Instituto Politécnico de Lisboa - Escola Superior de Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74616+-9.195106;;
Instituto Politécnico de Setúbal - Escola Superior de Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:38.51978+-8.838278;;
ISCE - Instituto Superior de Lisboa e Vale do Tejo;http://maps.google.pt/maps?z=20&t=k&q=loc:38.8064+-9.191853;;
Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra;http://maps.google.pt/maps?z=20&t=k&q=loc:40.20522+-8.405957;;
Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar;http://maps.google.pt/maps?z=20&t=k&q=loc:39.36472+-9.403056;;
ISCTE - Instituto Universitário de Lisboa;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74875+-9.153692;;
Universidade de Coimbra - Faculdade de Ciências e Tecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:40.18623+-8.412266;;
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74025+-9.151129;;
Universidade de Coimbra - Faculdade de Letras;http://maps.google.pt/maps?z=20&t=k&q=loc:40.20647+-8.428684;;
Universidade de Lisboa - Faculdade de Letras;http://maps.google.pt/maps?z=20&t=k&q=loc:38.75359+-9.157651;;
Universidade do Porto - Faculdade de Letras;http://maps.google.pt/maps?z=20&t=k&q=loc:41.15155+-8.63262;;
Universidade da Beira Interior;http://maps.google.pt/maps?z=20&t=k&q=loc:40.27736+-7.508574;;
Universidade de Évora - Escola de Artes;http://maps.google.pt/maps?z=20&t=k&q=loc:38.56902+-7.911873;;
Universidade de Lisboa - Faculdade de Arquitetura;http://maps.google.pt/maps?z=20&t=k&q=loc:38.71291+-9.193281;;
Universidade de Lisboa - Instituto Superior Técnico;http://maps.google.pt/maps?z=20&t=k&q=loc:38.73688+-9.13691;;
Universidade do Porto - Faculdade de Arquitetura;http://maps.google.pt/maps?z=20&t=k&q=loc:41.14992+-8.63601;;
Escola Superior Artística do Porto;;;
Instituto Superior Manuel Teixeira Gomes;http://maps.google.pt/maps?z=20&t=k&q=loc:37.14078+-8.535942;;
Universidade Autónoma de Lisboa Luís de Camões;http://maps.google.pt/maps?z=20&t=k&q=loc:38.72433+-9.14589;;
Universidade Fernando Pessoa;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17292+-8.611185;;
Universidade Lusíada - Centro Universitário Lusíada - Lisboa;http://maps.google.pt/maps?z=20&t=k&q=loc:38.69799+-9.192036;;
Universidade Lusíada - Centro Universitário Lusíada - Norte - Porto;http://maps.google.pt/maps?z=20&t=k&q=loc:41.1687+-8.661802;;
Universidade Lusíada - Centro Universitário Lusíada - Norte - Vila Nova de Famalicão;http://maps.google.pt/maps?z=20&t=k&q=loc:41.41021+-8.522896;;
Universidade de Lisboa - Instituto Superior de Agronomia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.70623+-9.182634;;
Universidade do Porto - Faculdade de Ciências;http://maps.google.pt/maps?z=20&t=k&q=loc:41.15242+-8.637816;;
Universidade Portucalense Infante D. Henrique;http://maps.google.pt/maps?z=20&t=k&q=loc:41.18032+-8.605047;;
Universidade Católica Portuguesa - Escola das Artes;;;
Universidade de Lisboa - Faculdade de Belas-Artes;http://maps.google.pt/maps?z=20&t=k&q=loc:38.70903+-9.156942;;
Universidade da Maia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.26779+-8.617047;;
Instituto Politécnico de Viana do Castelo - Escola Superior de Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:41.70303+-8.820739;;
Escola Superior de Artes e Design;http://maps.google.pt/maps?z=20&t=k&q=loc:41.18464+-8.662266;;
Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu;http://maps.google.pt/maps?z=20&t=k&q=loc:40.66005+-7.913927;;
Universidade do Porto - Faculdade de Belas-Artes;http://maps.google.pt/maps?z=20&t=k&q=loc:41.14566+-8.600771;;
Instituto Politécnico de Leiria - Escola Superior de Artes e Design;http://maps.google.pt/maps?z=20&t=k&q=loc:39.39528+-9.135278;;
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222;;
Universidade da Madeira - Faculdade de Artes e Humanidades;http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251;;
Instituto Politécnico do Porto - Escola Superior de Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:41.1799+-8.598137;;
Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra;http://maps.google.pt/maps?z=20&t=k&q=loc:42.12346+-8.27082;;
Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto;http://maps.google.pt/maps?z=20&t=k&q=loc:41.18986+-8.598206;;
Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior;http://maps.google.pt/maps?z=20&t=k&q=loc:39.345+-8.933;;
Instituto Superior de Ciências Educativas do Douro;http://maps.google.pt/maps?z=20&t=k&q=loc:41.12039+-8.172403;;
Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra;http://maps.google.pt/maps?z=20&t=k&q=loc:40.19915+-8.461344;;
Instituto Politécnico do Porto - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17779+-8.60693;;
Instituto Politécnico de Beja - Escola Superior de Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:38.01385+-7.874671;;
Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74665+-9.19476;;
Instituto Politécnico da Lusofonia - Escola Superior de Engenharia e Tecnologias;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184;;
Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia da Produção de Aveiro-Norte;http://maps.google.pt/maps?z=20&t=k&q=loc:40.86214+-8.476327;;
Universidade do Porto - Faculdade de Engenharia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.1781+-8.598157;;
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986;;
Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra;http://maps.google.pt/maps?z=20&t=k&q=loc:40.1929+-8.412338;;
Universidade Católica Portuguesa - Escola Superior de Biotecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.15398+-8.673013;;
