master,university,Location,Duration,Tuition Fee,about
Digital Society,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"The Digital Society programme at Universidade Nova de Lisboa offers a comprehensive curriculum leading to a degree type of B.Sc. This course is designed to equip students with essential skills for the digital age. The duration and attendance format details are not specified, but the university is renowned for its innovative approach to education."
Industrial Engineering and Management,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"The cross-sectional profile of the Master in Industrial Engineering and Management from Universidade Nova de Lisboa implies that professionals in this area are searched for by very diverse organizations, from telecommunications companies to the automotive industry or consultancy companies. "
Executive Master of Business Administration,Porto Business School,"Senhora da Hora, Portugal","1 year, 5 months",30 000 EUR / year,"This Executive Master of Business Administration from Porto Business School is not merely an academic program—it is a journey that builds skills, broadens perspectives, and empowers impactful decisions."
Strategic Talent Management for the Next Era,Porto Business School,"Senhora da Hora, Portugal",½ year,9500 EUR / year,This Strategic Talent Management for the Next Era course from Porto Business School is designed to develop deep subject matter expertise and position participants as true talent experts.
Food Engineering,Catholic University of Portugal,"Lisbon, Portugal",2 years,4590 EUR / year,"The Food Engineering current cycle of studies at Catholic University of Portugal encompasses a lecturing component, a project unit and a placement/thesis. The latter can include a dissertation of scientific nature or an industrial placement subject to a final report, providing they are original and specifically conceived towards that aim."
Culture Studies,Catholic University of Portugal,"Lisbon, Portugal",2 years,540 EUR / module,"Ranked #3 by the Eduniversal Worldwide Best Masters Ranking in Arts and Cultural Management, the Master Program in Culture Studies at Catholic University of Portugal is aimed at graduate degree holders from the Humanities and Social Sciences, interested in a structured discussion of cultural phenomena in the global world. "
Sustainable Tourism Management,Polytechnic of Leiria,"Peniche, Portugal",2 years,1140 EUR / year," The Master Program in Sustainable Tourism Management at Polytechnic of Leiria aims the training of students able to perform tasks in various branches of tourism, whether in public or in private sector."
Translation,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,The profile of the programme in Translation at the Polytechnic Institute of Bragança comprises the development of the technical-scientific knowledge and professional specialized skills in the study areas of Translation Studies; Foreign Languages; Information and Communication Technologies.
Biotechnology,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"The Master in Biotechnology from Instituto Superior Técnico is intended for graduates in areas related to Biological Sciences, Bioengineering, Biochemistry and related fields."
Naval Architecture and Ocean Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Master Programme in Naval Architecture and Ocean Engineering from Instituto Superior Técnico is aimed at graduates in Engineering, namely Naval Engineering, Mechanical Engineering, Aerospace Engineering and related fields."
Environmental Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The MSc in Environmental Engineering at Instituto Superior Técnico is addressed to graduates in areas associated with Engineering, Sustainability, Ecology and related areas."
Computer Engineering - Mobile Computing,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year,"The Master Degree in Computer Engineering - Mobile Computing is offered by Polytechnic of Leiria. The goal is to confer a professional specialization with great emphasis on mobile computing and related technologies, allowing a series of studies to the holders of a degree in Computer Engineering, and related courses, including the possibility of expertise to professionals in the labour market. "
Graphic Design,Polytechnic of Leiria,"Caldas da Rainha, Portugal",2 years,1140 EUR / year,"Graduates in the Master of Graphic Design at Polytechnic of Leiria may work in the areas of editorial design, packaging, typography, information design, generic design for television or cinema, illustration, art direction, branding, multimedia design and production of graphic design."
Management,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,"The profile of the programme in Management, offered by the Polytechnic Institute of Bragança, comprises the development of the technical-scientific knowledge and professional specialized skills in the study areas of Management."
Archaeological Materials Science,The University of Évora,"Evora, Portugal",2 years,1050 EUR / year,The Archaeological Materials Science programme at the University of Évora aims is to provide students with specialized skills in archaeology and analytical characterization of materials from prehistory(Megalithic) to classical times (Greek and Roman). 
Tax Law,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,We offer a master degree in Tax Law at University of Minho. 
Informatics Engineering,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,The Master in Informatics Engineering at University of Minho complements a graduation in Informatics (Bologna first cycle) with a certifiable Engineering degree. 
Applied Psychology,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Masters in Applied Psychology at University of Minho aims to allow for a practical scientists formation focused on problems and issues relevant to professional practice in various domains of Psychology, for the development of deeper knowledge in the applied areas of Psychology, including competencies for the use of methods and techniques of intervention and research in applied contexts."
Human Rights,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This Human Rights Master degree from University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas."
