Master Name,University,Location,Duration,Tuition Fee
Sustainable Urban Mobility Transitions,EIT Urban Mobility Master School,Multiple locations,2 years,4000 EUR / year
Smart Mobility Data Science and Analytics,EIT Urban Mobility Master School,Multiple locations,2 years,4000 EUR / year
Postgraduate Program in Enterprise Data Science and Analytics,NOVA IMS,"Lisbon, Portugal",9 months,5100 EUR / year
Postgraduate Program in Artificial Intelligence for Business Transformation,NOVA IMS,"Lisbon, Portugal",9 months,4100 EUR / year
Lisbon Executive Master of Business Administration,Nova School of Business and Economics,"Lisbon, Portugal","1 year, 8 months",20 940 EUR / year
Advanced Materials - Innovative Recycling (AMIR),EIT RawMaterials Academy,Multiple locations,2 years,2500 EUR / year
Master in Finance with Double Degree,Católica Porto Business School (CPBS),"Porto, Portugal",2 years,6570 EUR / year
Law and Security,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,2450 EUR / year
Postgraduate Program in Health Data Science and Analytics,NOVA IMS,"Lisbon, Portugal",9 months,4200 EUR / year
Social Law and Innovation,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year
Management and Industrial Strategy,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,3425 EUR / year
Law and Economics of the Sea – Ocean Governance,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year
Data Analytics for Business,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",1½ year,4566 EUR / year
CEMS Master in International Management,Nova School of Business and Economics,"Carcavelos, Portugal",2 years,10 325 EUR / year
Master in Marketing with Double Degree,Católica Porto Business School (CPBS),"Porto, Portugal",2 years,7008 EUR / year
Economics,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8099 EUR / year
Accounting,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",1½ year,4566 EUR / year
Law and Management,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",1½ year,4133 EUR / year
International Master's in Management,Nova School of Business and Economics,"Lisbon, Portugal",1½ year,8099 EUR / year
Actuarial Science,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2750 EUR / year
Finance,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,3950 EUR / year
Applied Econometrics and Forecasting,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2550 EUR / year
Law Applied to Technology (Law and Tech),Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,7200 EUR / year
Master in Business Economics with Double Degree,Católica Porto Business School (CPBS),"Porto, Portugal",2 years,6570 EUR / year
International and European Law,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year
Mathematical Finance,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2875 EUR / year
Erasmus Mundus Joint Master Programme Social Psychology of Transformation (SPOT),International Psychoanalytic University Berlin (IPU Berlin),Multiple locations,2 years,9600 EUR / year
International Master's in Finance,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8999 EUR / year
Lisbon International Master of Business Administration,Nova School of Business and Economics,"Lisbon, Portugal",1 year,39 500 EUR / year
Law and Financial Markets,Universidade Nova de Lisboa - NOVA School of Law,"Lisbon, Portugal",2 years,3100 EUR / year
Business Analytics,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8099 EUR / year
Renewable Energy,InnoEnergy Masters+,Multiple locations,2 years,19 000 EUR / year
Monetary and Financial Economics,ISEG - Lisbon School of Economics and Management,"Lisbon, Portugal",2 years,2875 EUR / year
International Development and Public Policy,Nova School of Business and Economics,"Carcavelos, Portugal",1½ year,8099 EUR / year
